name,carmodel,price,location,status,mfg,interiorColor,exteriorColor,gearbox,kilometer,link
HONDA,BRIO,448000000,HỒ CHÍ MINH,MỚI,2021,,VÀNG,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-honda-brio-tang-goi-km-khung-chuc-trieu-voi-110tr-nhan-xe-ngay-tan-noi-lh-0901338826-399359/
HONDA,CR_V,1118000000,HỒ CHÍ MINH,MỚI,2021,,XÁM,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-honda-cr-v-2021tang-thue-truoc-banhan-xe-voi-250tr-tang-bhvc-goi-pk-duy-nhat-trong-thang-11-406535/
KIA,SONET,499000000,HỒ CHÍ MINH,MỚI,2021,,TRẮNG,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-kia-sonet-2021-suv-the-he-moi-lh0968919378-415089/
TOYOTA,RUSH,634000000,HỒ CHÍ MINH,MỚI,2021,,TRẮNG,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-toyota-rush-2021-tang-1-nam-bao-hiem-than-xe-du-mau-giao-ngay-205tr-nhan-xe-lh-0932142022-331292/
MERCEDES_BENZ,GLC200,1799000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-mercedes-glc200-t112021-0909-300-351-lai-xuat-uu-dai-nhieu-qua-vip-387121/
MERCEDES_BENZ,E180,1879000000,HỒ CHÍ MINH,CŨ,2020,,ĐỎ,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-e180-da-qua-su-dung-chinh-hang-dang-ki-2020-lh-0963260601-398244/
HONDA,CR_V,1118000000,HỒ CHÍ MINH,MỚI,2020,,XANH DƯƠNG,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-nhan-xe-crv-2021-voi-250trtang-bhvc-goi-pk-km-khung-nhat-duy-nhat-trong-thang-11-397126/
TOYOTA,FORTUNER,995000000,HỒ CHÍ MINH,MỚI,2020,,TRẮNG,SỐ TAY,0,https://www.carmudi.vn/ban-xe-o-to-toyota-fortuner-2021-du-mau-giao-ngay-255tr-co-xe-lh-0932142022-381151/
SUZUKI,ERTIGA,517000000,HỒ CHÍ MINH,MỚI,2021,,MÀU KHÁC,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-xe-7-cho-ertiga-2021-gia-5-cho-bank-ho-tro-caochi-can-80-trieu-lan-banh-khong-can-chung-minh-thu-nap-404569/
TOYOTA,INNOVA,750000000,HỒ CHÍ MINH,MỚI,2020,,BẠC,SỐ TAY,0,https://www.carmudi.vn/ban-xe-o-to-toyota-innova-2021-tang-3-nam-bao-duong-du-mau-giao-ngay-175tr-co-xe-lh-0932142022-326546/
