,name,carmodel,price,location,status,mfg,interiorColor,exteriorColor,gearbox,kilometer,link,note
3,TOYOTA,VIOS,415000000,HÀ NỘI,CŨ,2020,,ĐEN,SỐ TAY,0,https://www.carmudi.vn/ban-xe-o-to-chinh-chu-ban-toyota-vios-15e-mt-2020-gia-415tr-415269/,price!!!
5,LANDROVER,RANGE ROVER,17899000000,HÀ NỘI,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-ban-land-rover-range-rover-svautobio-2021-moi-gia-tot-co-thuong-luong-lh-0935866636-413319/,price!!!
18,MERCEDES BENZ,GLC,1890000000,HÀ NỘI,CŨ,2021,ĐEN,XÁM,TỰ ĐỘNG,5000,https://bonbanh.com/xe-mercedes_benz-glc-200-2021-3931595,price!!!
19,FORD,RANGER,1240000000,HÀ NỘI,CŨ,2020,-,XÁM,TỰ ĐỘNG,0,https://bonbanh.com/xe-ford-ranger-raptor-2.0l-4x4-at-2020-4087443,price!!!
25,HONDA,CITY,10000000,HỒ CHÍ MINH,MỚI,2021,,TRẮNG,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-honda-city-2021-sieu-uu-dai-khung-tra-truoc-126-144tr-uu-dai-pk-tha-ga-lh-dung-0901338826-385646/,price!!!
38,TOYOTA,VIOS,195000000,PHÚ THỌ,CŨ,2005,GHI,ĐEN,SỐ TAY,121266,https://bonbanh.com/xe-toyota-vios-1.5g-2005-4080680,price!!!
43,HYUNDAI,I10,285000000,HÀ GIANG,CŨ,2019,ĐEN,TRẮNG,SỐ TAY,35000,https://bonbanh.com/xe-hyundai-i10-grand-1.2-mt-base-2019-4079490,price!!!
48,HYUNDAI,ACCENT,385000000,,MỚI,2021,,,SỐ SÀN,,https://xe.chotot.com/mua-ban-oto-quan-phu-nhuan-tp-ho-chi-minh/88693993.htm,price!!!
53,HYUNDAI,ACCENT,378000000,,MỚI,2021,,,SỐ SÀN,,https://xe.chotot.com/mua-ban-oto-quan-tan-phu-tp-ho-chi-minh/90562899.htm,price!!!
66,KIA,MORNING,304000000,KHÁNH HÒA,MỚI,2021,ĐEN,XANH,SỐ TAY,0,https://bonbanh.com/xe-kia-morning-mt-2021-3849078,price!!!
67,FORD,RANGER,1168000000,HÀ NỘI,CŨ,2019,GHI,XANH,TỰ ĐỘNG,29000,https://bonbanh.com/xe-ford-ranger-raptor-2.0l-4x4-at-2019-4130155,price!!!
80,MERCEDES BENZ,G CLASS,9500000000,HÀ NỘI,MỚI,2021,ĐỎ,XÁM,TỰ ĐỘNG,0,https://bonbanh.com/xe-mercedes_benz-g_class-g350d-2021-4115306,price!!!
83,HYUNDAI,ACCENT,395000000,ĐĂK LĂK,CŨ,2020,ĐEN,TRẮNG,SỐ TAY,34140,https://bonbanh.com/xe-hyundai-accent-1.4-mt-base-2020-4131124,price!!!
